iter	Passed	Remaining
0	1	168
1	3	163
2	4	154
3	6	151
4	7	148
5	9	147
6	10	145
7	12	138
8	13	134
9	14	129
10	15	126
11	16	123
12	18	120
13	19	117
14	20	114
15	21	110
16	22	107
17	22	104
18	23	101
19	24	99
20	25	96
21	26	95
22	27	92
23	28	90
24	29	88
25	30	87
26	31	85
27	32	84
28	33	82
29	34	81
30	35	79
31	36	78
32	37	76
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	67
39	44	66
40	45	65
41	45	63
42	46	62
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	39
62	66	38
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	22
79	83	20
80	84	19
81	86	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	92	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
