iter	Passed	Remaining
0	140	140660
1	146	72858
2	150	50139
3	155	38764
4	161	32123
5	166	27600
6	171	24342
7	176	21915
8	181	20007
9	187	18535
10	190	17167
11	193	15945
12	196	14908
13	200	14130
14	203	13357
15	206	12669
16	208	12083
17	211	11544
18	214	11074
19	216	10630
20	219	10231
21	221	9868
22	224	9543
23	227	9260
24	230	8986
25	232	8728
26	235	8491
27	238	8268
28	240	8062
29	243	7879
30	246	7702
31	249	7533
32	251	7381
33	254	7236
34	258	7117
35	260	6986
36	263	6857
37	266	6746
38	268	6616
39	270	6487
40	272	6366
41	273	6245
42	275	6129
43	276	6010
44	277	5896
45	279	5787
46	280	5687
47	281	5588
48	282	5492
49	284	5400
50	285	5312
51	286	5224
52	287	5139
53	288	5058
54	289	4981
55	291	4906
56	292	4832
57	293	4759
58	294	4690
59	295	4621
60	295	4556
61	296	4491
62	297	4428
63	298	4371
64	299	4314
65	300	4256
66	301	4200
67	302	4147
68	303	4095
69	304	4044
70	305	3995
71	306	3949
72	307	3902
73	308	3856
74	309	3811
75	310	3769
76	310	3726
77	311	3685
78	312	3647
79	314	3611
80	315	3574
81	315	3536
82	316	3495
83	317	3459
84	318	3425
85	319	3398
86	320	3365
87	321	3332
88	322	3300
89	323	3269
90	324	3238
91	325	3208
92	326	3179
93	326	3151
94	328	3126
95	329	3101
96	330	3074
97	331	3047
98	332	3021
99	332	2996
100	333	2971
101	334	2946
102	335	2923
103	336	2899
104	337	2876
105	338	2853
106	339	2831
107	340	2809
108	341	2788
109	342	2767
110	343	2748
111	344	2728
112	345	2708
113	346	2689
114	346	2669
115	347	2650
116	348	2630
117	349	2612
118	350	2594
119	351	2576
120	352	2558
121	352	2539
122	353	2522
123	354	2505
124	355	2489
125	356	2472
126	357	2455
127	358	2442
128	360	2433
129	361	2417
130	362	2403
131	363	2390
132	364	2377
133	365	2363
134	366	2350
135	367	2337
136	369	2324
137	370	2312
138	371	2299
139	372	2288
140	374	2278
141	374	2264
142	376	2253
143	377	2242
144	378	2231
145	379	2220
146	380	2208
147	381	2197
148	382	2185
149	383	2173
150	384	2161
151	385	2150
152	386	2139
153	387	2130
154	389	2120
155	390	2110
156	391	2099
157	392	2090
158	393	2080
159	394	2071
160	395	2060
161	396	2051
162	397	2041
163	398	2032
164	399	2023
165	400	2014
166	402	2005
167	403	1996
168	404	1987
169	405	1978
170	406	1968
171	407	1960
172	408	1951
173	409	1942
174	410	1934
175	411	1925
176	412	1916
177	413	1907
178	414	1899
179	415	1892
180	416	1884
181	417	1877
182	418	1869
183	419	1861
184	420	1853
185	421	1845
186	423	1840
187	424	1833
188	425	1826
189	426	1818
190	427	1811
191	428	1804
192	429	1796
193	430	1789
194	431	1781
195	432	1775
196	433	1768
197	434	1761
198	435	1754
199	436	1747
200	437	1740
201	438	1733
202	439	1727
203	440	1720
204	441	1713
205	442	1706
206	443	1699
207	444	1692
208	445	1686
209	446	1681
210	448	1675
211	449	1669
212	450	1663
213	451	1656
214	452	1651
215	453	1645
216	454	1638
217	455	1632
218	455	1625
219	456	1619
220	457	1613
221	458	1607
222	459	1601
223	460	1595
224	461	1589
225	462	1584
226	463	1578
227	464	1573
228	465	1567
229	466	1562
230	467	1556
231	468	1551
232	469	1545
233	470	1539
234	471	1534
235	472	1528
236	473	1523
237	474	1517
238	474	1512
239	475	1507
240	477	1502
241	478	1498
242	479	1492
243	480	1487
244	481	1482
245	482	1477
246	482	1472
247	483	1467
248	484	1461
249	485	1456
250	486	1451
251	487	1446
252	488	1441
253	489	1436
254	490	1431
255	491	1427
256	492	1423
257	493	1418
258	494	1413
259	495	1409
260	496	1405
261	497	1400
262	498	1396
263	499	1391
264	499	1386
265	500	1381
266	501	1377
267	502	1372
268	503	1368
269	504	1363
270	505	1359
271	506	1355
272	507	1352
273	508	1347
274	509	1343
275	510	1339
276	511	1335
277	512	1331
278	513	1327
279	514	1323
280	515	1318
281	516	1314
282	517	1310
283	518	1306
284	518	1301
285	519	1297
286	521	1294
287	522	1291
288	523	1287
289	524	1283
290	525	1279
291	526	1276
292	527	1272
293	528	1268
294	529	1264
295	529	1260
296	530	1256
297	531	1252
298	532	1249
299	533	1245
300	534	1241
301	535	1238
302	536	1235
303	537	1231
304	538	1227
305	539	1224
306	540	1220
307	541	1216
308	542	1213
309	543	1209
310	544	1206
311	545	1202
312	546	1199
313	547	1195
314	548	1192
315	549	1188
316	550	1185
317	551	1182
318	552	1179
319	553	1175
320	554	1172
321	555	1169
322	556	1165
323	557	1162
324	558	1159
325	558	1155
326	559	1152
327	560	1148
328	561	1145
329	562	1142
330	563	1138
331	564	1135
332	566	1133
333	567	1130
334	568	1127
335	568	1124
336	569	1121
337	570	1117
338	571	1114
339	572	1111
340	573	1107
341	574	1104
342	575	1101
343	576	1098
344	577	1095
345	578	1092
346	579	1089
347	580	1086
348	581	1084
349	582	1081
350	582	1077
351	583	1075
352	584	1072
353	585	1068
354	586	1065
355	587	1062
356	588	1059
357	589	1056
358	590	1053
359	591	1050
360	592	1047
361	592	1045
362	593	1042
363	595	1039
364	596	1037
365	597	1034
366	597	1031
367	598	1028
368	599	1025
369	600	1022
370	601	1020
371	602	1017
372	603	1014
373	604	1011
374	605	1009
375	606	1006
376	607	1003
377	608	1000
378	609	998
379	610	996
380	611	993
381	612	990
382	613	988
383	614	985
384	615	982
385	616	980
386	616	977
387	617	974
388	618	971
389	619	969
390	620	966
391	621	964
392	622	961
393	623	959
394	624	956
395	625	954
396	626	951
397	627	948
398	628	946
399	629	943
400	630	941
401	630	938
402	631	936
403	632	933
404	633	931
405	634	928
406	635	926
407	636	923
408	637	921
409	638	918
410	639	916
411	640	914
412	641	912
413	642	909
414	643	907
415	644	905
416	645	902
417	646	900
418	647	897
419	648	895
420	649	893
421	650	890
422	651	888
423	652	885
424	652	883
425	653	881
426	654	878
427	655	876
428	656	874
429	657	871
430	658	869
431	659	867
432	660	864
433	661	862
434	662	860
435	663	857
436	663	855
437	665	853
438	665	850
439	666	848
440	667	846
441	668	844
442	669	842
443	670	840
444	671	837
445	672	835
446	673	833
447	674	831
448	675	828
449	676	826
450	677	824
451	678	822
452	679	820
453	680	817
454	680	815
455	681	813
456	682	811
457	683	809
458	684	807
459	685	805
460	686	802
461	687	800
462	688	798
463	689	796
464	690	794
465	691	792
466	692	790
467	693	788
468	694	785
469	695	783
470	695	781
471	696	779
472	697	777
473	698	775
474	699	773
475	700	771
476	701	769
477	702	767
478	703	765
479	704	763
480	705	761
481	706	759
482	707	756
483	708	754
484	708	752
485	709	750
486	710	748
487	711	746
488	712	744
489	713	742
490	714	741
491	715	739
492	716	737
493	717	735
494	718	733
495	719	731
496	720	729
497	721	727
498	722	725
499	723	723
500	723	721
501	724	719
502	725	717
503	726	715
504	727	713
505	728	711
506	730	709
507	731	708
508	732	706
509	733	704
510	734	702
511	735	701
512	736	699
513	737	697
514	738	695
515	739	694
516	740	692
517	741	690
518	742	688
519	743	686
520	744	684
521	746	683
522	746	681
523	747	679
524	748	677
525	749	675
526	750	673
527	751	671
528	752	669
529	753	668
530	754	666
531	755	664
532	756	662
533	756	660
534	757	658
535	759	657
536	760	655
537	761	653
538	761	651
539	762	649
540	763	647
541	764	646
542	765	644
543	766	642
544	767	640
545	768	639
546	769	637
547	770	635
548	771	633
549	772	631
550	773	630
551	774	628
552	775	626
553	776	625
554	777	623
555	778	621
556	779	619
557	780	617
558	781	616
559	782	614
560	782	612
561	783	610
562	784	609
563	785	607
564	786	605
565	787	603
566	788	601
567	789	600
568	790	598
569	791	597
570	792	595
571	793	593
572	794	592
573	795	590
574	796	588
575	797	587
576	798	585
577	799	583
578	800	582
579	801	580
580	802	578
581	804	577
582	805	575
583	806	574
584	807	572
585	807	570
586	808	569
587	809	567
588	811	565
589	811	564
590	812	562
591	813	560
592	814	559
593	815	557
594	816	555
595	817	554
596	818	552
597	819	551
598	820	549
599	821	547
600	822	546
601	823	544
602	824	542
603	825	540
604	826	539
605	826	537
606	827	535
607	828	534
608	829	532
609	830	531
610	831	529
611	832	527
612	833	526
613	834	524
614	835	523
615	836	521
616	837	519
617	838	518
618	839	516
619	840	515
620	841	513
621	842	511
622	843	510
623	844	508
624	844	506
625	845	505
626	846	503
627	847	502
628	848	500
629	849	499
630	850	497
631	851	496
632	853	494
633	854	493
634	855	491
635	856	490
636	857	488
637	858	487
638	859	485
639	860	483
640	861	482
641	862	480
642	863	479
643	864	477
644	865	476
645	867	475
646	867	473
647	868	471
648	869	470
649	870	468
650	871	467
651	872	465
652	873	464
653	874	462
654	875	460
655	876	459
656	877	457
657	878	456
658	879	454
659	880	453
660	881	451
661	882	450
662	883	449
663	884	447
664	886	446
665	887	444
666	888	443
667	889	442
668	890	440
669	892	439
670	893	438
671	894	436
672	896	435
673	897	433
674	898	432
675	899	430
676	900	429
677	901	428
678	902	426
679	902	424
680	903	423
681	904	421
682	905	420
683	907	419
684	908	417
685	909	416
686	910	414
687	911	413
688	913	412
689	914	410
690	915	409
691	916	407
692	917	406
693	918	404
694	919	403
695	920	402
696	922	400
697	923	399
698	925	398
699	926	397
700	927	395
701	929	394
702	930	392
703	931	391
704	932	390
705	933	388
706	934	387
707	935	385
708	937	384
709	938	383
710	939	381
711	940	380
712	941	378
713	942	377
714	943	376
715	944	374
716	945	373
717	946	371
718	947	370
719	948	368
720	949	367
721	951	366
722	952	364
723	953	363
724	954	362
725	955	360
726	956	359
727	957	357
728	958	356
729	959	354
730	960	353
731	961	351
732	962	350
733	962	348
734	963	347
735	964	346
736	965	344
737	967	343
738	968	341
739	969	340
740	969	339
741	970	337
742	971	336
743	972	334
744	973	333
745	974	331
746	975	330
747	976	328
748	977	327
749	978	326
750	979	324
751	980	323
752	981	321
753	982	320
754	983	319
755	984	317
756	985	316
757	986	314
758	987	313
759	988	312
760	988	310
761	989	309
762	990	307
763	991	306
764	992	304
765	993	303
766	994	302
767	995	300
768	996	299
769	997	297
770	998	296
771	999	295
772	1000	293
773	1001	292
774	1001	290
775	1002	289
776	1003	288
777	1004	286
778	1005	285
779	1006	283
780	1007	282
781	1008	281
782	1009	279
783	1010	278
784	1011	277
785	1012	275
786	1013	274
787	1014	272
788	1015	271
789	1016	270
790	1016	268
791	1017	267
792	1018	265
793	1019	264
794	1020	263
795	1021	261
796	1022	260
797	1023	259
798	1024	257
799	1025	256
800	1026	255
801	1027	253
802	1028	252
803	1029	251
804	1030	249
805	1031	248
806	1032	246
807	1033	245
808	1034	244
809	1035	242
810	1036	241
811	1037	240
812	1038	238
813	1038	237
814	1040	236
815	1041	234
816	1042	233
817	1042	232
818	1043	230
819	1044	229
820	1045	227
821	1046	226
822	1047	225
823	1048	223
824	1049	222
825	1050	221
826	1051	219
827	1052	218
828	1053	217
829	1053	215
830	1055	214
831	1056	213
832	1057	211
833	1058	210
834	1058	209
